source,target,value
Luz,Servicios Fijos,56.89
Agua,Servicios Fijos,15.295
EOS,Servicios Fijos,20
DIGI (Moviles),Servicios Fijos,10
iCloud-G,Servicios Fijos,2.99
iCloud-K,Servicios Fijos,9.99
APPLE.COM/BILL,Servicios Fijos,2.99
Servicios Fijos,Necesidad,1500
Servicios Fijos,Necesidad,56.89
Servicios Fijos,Necesidad,15.295
Servicios Fijos,Necesidad,20
Servicios Fijos,Necesidad,10
Servicios Fijos,Necesidad,2.99
Servicios Fijos,Necesidad,9.99
Servicios Fijos,Necesidad,2.99
